phrase;word_count;items_total;calendar_count;calendar_pct;forwarding_count;forwarding_pct;knowledge-base_count;knowledge-base_pct;none_count;none_pct;matching_ids
business dafür;2;3;0;0.0;0;0.0;3;3.3;0;0.0;AM-001, AM-003, AM-012
deep water;2;3;0;0.0;0;0.0;2;2.2;1;1.0;SP-028, SP-029, SP-030
der buchung;2;3;1;1.4;0;0.0;0;0.0;2;2.0;SP-012, ZE-009, ZE-018
der tag;2;3;3;4.3;0;0.0;0;0.0;0;0.0;ZE-010, IM-012, ME-005
die große;2;3;0;0.0;0;0.0;2;2.2;1;1.0;SP-025, SP-026, SP-027
einen gemeinsamen;2;3;3;4.3;0;0.0;0;0.0;0;0.0;ZE-007, ZE-008, IM-021
einen neuen;2;3;2;2.9;0;0.0;0;0.0;1;1.0;ME-008, ME-010, ME-011
erst mal;2;3;0;0.0;0;0.0;0;0.0;3;3.0;HH-018, IM-011, IM-018
es für;2;3;1;1.4;0;0.0;2;2.2;0;0.0;EC-006, EC-007, SC-010
es geht;2;3;0;0.0;0;0.0;3;3.3;0;0.0;HH-005, HH-014, PI-005
es um;2;3;0;0.0;0;0.0;2;2.2;1;1.0;AM-012, ZE-020, CH-017
etwas frei;2;3;3;4.3;0;0.0;0;0.0;0;0.0;SP-005, SP-015, ME-017
freie termine;2;3;3;4.3;0;0.0;0;0.0;0;0.0;SP-008, ZE-019, SC-010
für eine;2;3;0;0.0;0;0.0;3;3.3;0;0.0;ZE-025, PI-014, PI-015
geht es;2;3;1;1.4;0;0.0;2;2.2;0;0.0;AM-012, ZE-019, CH-017
gemeinsamen termin;2;3;3;4.3;0;0.0;0;0.0;0;0.0;ZE-007, ZE-008, IM-021
hab ich;2;3;0;0.0;0;0.0;0;0.0;3;3.0;SP-031, ZE-004, IM-011
haben sie;2;3;3;4.3;0;0.0;0;0.0;0;0.0;SP-015, IM-012, ME-015
haben wir;2;3;1;1.4;1;2.5;0;0.0;1;1.0;EC-011, HH-048, SC-014
habt ihr;2;3;0;0.0;0;0.0;3;3.3;0;0.0;ZE-033, ZE-034, ZE-035
hat mir;2;3;0;0.0;0;0.0;0;0.0;3;3.0;AM-002, AM-004, AM-011
ich bin;2;3;2;2.9;1;2.5;0;0.0;0;0.0;HH-030, ZE-021, IM-016
ich brauche;2;3;1;1.4;2;5.0;0;0.0;0;0.0;HH-023, HH-044, IM-008
ich den;2;3;0;0.0;0;0.0;2;2.2;1;1.0;HH-007, HH-008, HH-056
ich einen;2;3;2;2.9;0;0.0;1;1.1;0;0.0;ZE-026, SC-001, ME-008
ich erst;2;3;1;1.4;0;0.0;0;0.0;2;2.0;SP-009, ZE-013, ME-016
ich gefunden;2;3;0;0.0;0;0.0;0;0.0;3;3.0;PD-002, ZE-029, CH-018
ich gerade;2;3;0;0.0;0;0.0;0;0.0;3;3.0;AM-009, ME-011, PI-013
ich hatte;2;3;0;0.0;0;0.0;0;0.0;3;3.0;SP-063, HH-031, HH-049
